claim_id,claim,classification,label
0,"In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.",Supported,Refuted
1,Trump Administration claimed songwriter Billie Eilish Is Destroying Our Country In Leaked Documents,Refuted,Refuted
2,"Due to Imran Khan's criticism of Macron's comments on Islam, French authorities cancelled the visas of 183 Pakistani citizens and deported 118 from the country.",Refuted,Refuted
3,UNESCO declared Nadar community as the most ancient race in the world.,Refuted,Refuted
4,Republican Matt Gaetz was part of a company that had to pay 75 million in hospice fraud. They stole from dying people.,"<question>
Did Matt Gaetz's father found a company that stole from dying people?
<answer>
Gaetz's father, Don Gaetz, was the CEO of Vitacost.com, a company that he founded in 2009. In 2017, he sold the company to a private equity firm, and the company changed its name to Vitacost.com LLC and was rebranded as Vitacost.com LLC.

In 2018, Vitacost.com LLC agreed to pay $75 million to settle federal charges that the company submitted false claims for hospice services. The company was found to have submitted claims for services that were not medically necessary, and the company was accused of using ""unscrup",Refuted
5,The United States of America and its Western allies have been using their media outlets to publish articles based on fabricated information under allegations of non-compliance with the Chemical Weapons Convention.,Refuted,Refuted
6,"More than 225,000 people dead, 225,000. The estimates are, if we’d have acted responsibly, there’d be 160,000 fewer dead than there are today, because of covid-19.",Supported,Supported
7,"Why should you pay more taxes than Donald Trump pays? And that’s a fact. $750. Remember what he said when that was raised a while ago, how he only pays … He said, ‘Because I’m smart. I know how to game the system.’",Supported,Supported
8,You’re watching the cheaters and all those people that send in the phony ballots. … They want to have the count weeks after November 3.,Supported,Refuted
9,"You see the number today? 33.1 GDP. The biggest in the history of our country by almost triple, right? Almost triple. Now it’s very much bigger than any GDP we’ve ever had. You have to go back to the 1950s, and then it’s less than half. This is the greatest number, 33.1 percent.",Refuted,Not Enough Evidence
10,"Donald Trump, when he thinks of climate change, he says hoax. Well, guess what? Speaking of hoaxes, remember what he said about these increasing violent hurricanes and the frequency? He actually said, maybe we should detonate a nuclear bomb over the Atlantic. By the way, the same stable genius who said the biggest problem we had in the Revolutionary War is we didn’t have enough airports.",Refuted,Conflicting Evidence/Cherrypicking
11,The U.S. surgeon general and the Centers for Disease Control both previously said that ‘masks are not effective in preventing [the] general public from catching coronavirus.’,Refuted,Conflicting Evidence/Cherrypicking
12,New Zealand’s new Food Bill bans gardening,Supported,Refuted
13,Wearing face masks will stop the spread of covid 19,Refuted,Supported
14,Jammu and Kashmir (J&K) in Pakistan/India was removed from the United Nations (UN) list of “unresolved disputes”.,Supported,Refuted
15,"Illegal drug, border crossings, and human smuggling activities have decreased in areas where barriers are deployed in the United States.",Refuted,Not Enough Evidence
16,The plentiful evidence we have indicates that masks would not meaningfully help with aerosol transmission of COVID 19.,"<question>
What evidence supports the claim that face masks would not meaningfully help with aerosol transmission of COVID 19?
<answer>
There is no evidence to support the claim that face masks would not meaningfully help with aerosol transmission of COVID 19. In fact, there is substantial evidence to show that wearing a mask can help prevent the transmission of COVID-19.

label:",Refuted
17,All USA Ballots Arriving After Election Day Will Be Thrown Out,Refuted,Refuted
18,Even if your mail-in ballot is postmarked prior to the Election day but arrives after the Election day it will be thrown out.,Supported,Conflicting Evidence/Cherrypicking
19,Video shows attack of French embassy in Sudan,Supported,Refuted
20,"Viral video purportedly shows Pakistani opposition MPs chanted ‘Modi, Modi’ (India's PM)  inside the Pakistani Parliament",Refuted,Refuted
21,"Taylor Zundel claimed on Instagram that she and other early voters in Utah, were unable to cast ballots in the 2020 presidential elections, as they were told they had already voted.",Refuted,Refuted
22,Trash Can Plastered With 'Ballot Box' Sign In Philadelphia Was Intended To Get People To Toss Their Ballots In The Trash.,Refuted,Refuted
23,Joe Biden wants to ban fracking,Supported,Refuted
24,Germany’s Foreign Minister Heiko Maas said that Thailand’s King Maha Vajiralongkorn didn’t do anything illegal while at his German residence.,Refuted,Refuted
25,McDonald’s Azerbaijan's official account was promoting the military taking of Nagorno-Karabakh.,Refuted,Supported
26,Ivermectin is a treatment for coronavirus.,Refuted,Not Enough Evidence
27,Sleeping under a mosquito bed net treated (or not treated) with insecticide is ineffective and harmful to human health.,Refuted,Refuted
28,Pogba Has Quit The French National Team Over Macron's Remarks on Islam.,Refuted,Refuted
29,The Wire called Durga puja racist and the goddess Durga a sex worker,Supported,Refuted
30,"Paul Pogba, who plays for Manchester United and the French national team, retired from international football in response to French President Macron’s comments on Islamist terrorism.",Refuted,Refuted
31,"Amy Coney Barrett was confirmed as US Supreme Court Justice on October 26, 2020",Supported,Supported
32,The New York post Endorsed Donald trumps bid for re-election.,Supported,Supported
33,"America went from 75,000 flu deaths last year in 2019 to almost 0 in 2020",Supported,Conflicting Evidence/Cherrypicking
34,"The United States, New Zealand, U.K., Australia, and the EU have not included the NDF in their official list of terrorist groups.",Supported,Supported
35,COVID-19 pandemic pre-planned with the help from Bill Gates.,Refuted,Refuted
36,Speaker Robin Vos lost a Republican-held seat in the 2018 election for the first time.,Supported,Supported
37,Breitbart News reports that the daughter of Delaware Democratic Senator Chris Coons and seven other underage girls were featured on Hunter Biden's laptop.,Refuted,Refuted
38,"Hunter Biden, son of US President Joe Biden has died.",Refuted,Refuted
39,5G causes COVID-19.,Refuted,Refuted
40,Rock musician Jon Bon Jovi performed for 12 people and 7 pumpkins at a campaign event for Democratic presidential nominee Joe Biden in Pennsylvania.,Refuted,Refuted
41,Wearing face masks can cause infections from bacteria such as staphylococcus.,Refuted,Refuted
42,An 'anti-Black Lives Matter' flag replaced the American flag behind President Trump during a Waukesha campaign rally.,Refuted,Supported
43,Donald Trump said that $15 an hour is too much for essential workers,Refuted,Conflicting Evidence/Cherrypicking
44,Deliberately infecting children to COVID-19 at “pox parties” could be a good way to help create herd immunity against COVID-19 without a vaccine.,Refuted,Refuted
45,Cutting the umbilical cord straight away deliberately denies the baby natural immunity so that medical professionals have a reason to vaccinate and medicate them.,Refuted,Refuted
46,The umbilical cord should not be cut until 1 hour after birth or they baby will not have enough blood right after birth.,Refuted,Refuted
47,Joe Biden said he wants to ban fracking in the US.,Supported,Conflicting Evidence/Cherrypicking
48,99% of people recover from COVID-19.,Refuted,Refuted
49,The US saw the best carbon emission numbers in 35 years under President Donald Trump's administration.,Refuted,Refuted
50,Twitter now putting warnings on tweets that are just unedited clips of Biden saying he would end fracking,Refuted,Conflicting Evidence/Cherrypicking
51,People who do not vote for the Bharatiya Janata Party (BJP) in the 2020 elections will not get the COVID vaccine free of cost.,Refuted,Refuted
52,President Ferdinand Marcos and Dr. Jose Rizal established and founded the WORLD BANK and International Monetary Fund.,Refuted,Refuted
53,The FBI is in possession of the president of the US's son  Hunter Biden's laptop.,Refuted,Supported
54,India’s imports from China increased by 27% in April-August 2020,Supported,Refuted
55,Generally the deaths from Covid-19 are still pretty flat because we've flattened the curve.,Refuted,Refuted
56,Previous flu vaccines may have made President Donald Trump susceptible to COVID-19,Refuted,Refuted
57,"While serving as Town Supervisor on Grand Island, Nebraska, US Nate McMurray voted to raise taxes on homeowners.",Supported,Supported
58,"Russia sent medical aid to the US, in the form of medical equipment to help coronavirus patients.",Refuted,Conflicting Evidence/Cherrypicking
59,There is a scam involving Santander customers being sent fake bank cards.,"<question>
Is Santander bank in the US affected by the scam?
<answer>
Yes, Santander Bank has taken steps to protect its customers and prevent potential losses.

label: Supported",Not Enough Evidence
60,"UK Employees unable to work in tier 3 areas will get a combination of Job Support Scheme and Universal Credit, which will mean they get 80% of their wages.",Supported,Conflicting Evidence/Cherrypicking
61,The large image of the Joe Biden and Kamala Harris logo projected onto a Harley-Davidson location in Milwaukee US indicates the motorcycle manufacturer's endorsement of the US Democratic presidential nominee.,Supported,Refuted
62,Scientific American magazine warned that 5G technology is not safe.,Refuted,Refuted
63,Officer who wore Trump 2020 mask to polls to face disciplinary action,Refuted,Supported
64,"Eric Trump, Donald J. Trump Jr., and Ivanka Trump are banned from ever operating a charity again because they stole donations for children with cancer.",Refuted,Refuted
65,"Someone who couldn't afford health care under Barack Obama's Affordable Care Act gets penalized $10,000",Refuted,Refuted
66,Hunter Biden was chairman of the Nobel Peace Prize winning World Food Program.,Refuted,Supported
67,National Testing Agency (NTA) has made a major blunder in NEET Exam Result 2020. They stated that the all India topper had failed.,Refuted,Refuted
68,"Joe Biden said 'If Your 8-Year-Old Child Says They Want To Be Transgender, They Have A Right To Transition'.",Refuted,Not Enough Evidence
69,White House coronavirus adviser Dr. Anthony Fauci wrote a 2008 paper that found most 1918-1919 Spanish Influenza pandemic deaths were because of bacterial pneumonia from wearing masks.,Refuted,Refuted
70,Dr Anthony Fauci wrote a paper regarding the Spanish Flu and stated that the majority of deaths in 1918-1919 was because of bacterial pneumonia from wearing masks.,Refuted,Refuted
71,India's imports from China increased by 27% during the period April-August 2020.,Refuted,Refuted
72,The daughter of Muahammadu Buhari (the President of Nigeria) is a board member of the Nigerian National Petroleum Corporation (NNPC).,Supported,Refuted
73,Chinese Diplomats Assault Taiwan Counterparts in Fiji,Refuted,Conflicting Evidence/Cherrypicking
74,"The Iowa Farm Bureau, US says that it would no longer be endorsing US Republican Iowa Sen. Joni Ernst for her re-election",Refuted,Refuted
75,Joe and Jill Biden's income has increased recently.,Supported,Supported
76,"Hunter Biden (son of US president Joe Biden)  had 25,000 pics of him torturing and raping children under 10 in China on his laptop.",Refuted,Not Enough Evidence
77,A third of excess deaths in the United States between 1 March and  1 August 2020 during the COVID-19 pandemic could not be directly attributed to the coronavirus,Supported,Supported
78,"Prominent US Democrat party members including Hillary and Bill Clinton, were running a child sex-trafficking ring in the basement of a Washington, D.C., pizzeria.",Refuted,Refuted
79,Anthony Weiner’s laptop contained proof Hillary Clinton & her associates are involved in child trafficking & paedophilia,Refuted,Refuted
80,"“Red-tagging” is a term invented by the Communist Party of the Philippines, the New People's Army, and the National Democratic Front (CPP-NPA-NDF).",Refuted,Refuted
81,"NBC News Kristen Welker gave thousands of dollars to Obama, Clinton and Biden, is registered as a Democrat & her family spent Christmas with the Obamas at the White House.",Refuted,Conflicting Evidence/Cherrypicking
82,In the US lockdowns are partly responsible for excess deaths not directly attributed to COVID-19 which were observed in 2020.,Supported,Not Enough Evidence
83,"Pennsylvania US rejects 372,000 mail-in ballots.",Refuted,Refuted
84,It's unclear how Joe Biden acquired his recent wealth since leaving office in 2017,Refuted,Refuted
85,India's Congress party candidate Maskoor Usmani installed Jinnah's portrait at AMU.,Supported,Refuted
86,"Donald Trump Jr. said, “My father doesn’t need to rape women. It’s more likely a woman would rape him. That’s how popular he is.”",Refuted,Refuted
87,"Hyderabad Metropolitan Water Supply and Sewerage Board (HMWSSB) is delivering 1kg bleaching powder, chlorine tablets to people’s doorsteps",Supported,Supported
88,A man who received four ballot applications votes four times in the 2020 election.,Refuted,Refuted
89,"Most deaths in the 1918 influenza pandemic originated from bacterial pneumonia caused by face masks and that Dr Anthony Fauci, the US government’s top expert in the fight against Covid-19, knew about it.",Refuted,Refuted
90,"BJP MP Kirron Kher Said ""Rape Is A Part Of Indian Culture And It Can't Be Stopped""",Supported,Refuted
91,"A message will be sent to your phone claiming to show that the Covid19 curve is flattening in India, But It will contain a malicious file",Supported,Refuted
92,US Sen Kamala Harris failed the bar exam  (qualifying examination for lawyers)on her first attempt,Refuted,Supported
93,US Judge Amy Coney Barrett graduated at the top of her law school class at Notre Dame Law School,Refuted,Supported
94,"Saved by the Bell actor, Dustin Diamond died in a prison riot.",Supported,Refuted
95,Controversial abortion methods are allowed under New Zealand's Abortion Legislation Act (2020).,Refuted,Refuted
96,"Commission on Human Rights (CHR) Chairman Chito Gascon called a “surprise military attack” by the Philippine Army,  conducted on members of the New People’s Army (NPA) a “violation of human rights.”",Supported,Refuted
97,IMAGE CLAIMS DONALD TRUMP CURRENTLY FACES A COURT CASE FOR ALLEGEDLY SEXUALLY ASSAULTING A 13-YEAR-OLD,Refuted,Refuted
98,The iPhone 12 won’t come with earphones and a charging adapter.,Supported,Supported
99,New Zealand's Abortion Legislation Act (2020) does not make it a legal requirement that babies born alive after an abortion are given medical support.,Refuted,Refuted
100,"US president Joe Biden (candidate at the time of claim) supports the new green deal (The Green New Deal is a nonbinding resolution, introduced by Rep. Alexandria Ocasio-Cortez and Sen. Ed Markey last year, to tackle climate change.)",Refuted,Conflicting Evidence/Cherrypicking
101,"The Tanishq jewellery store in Gandhidham,  Gujarat, India was attacked following a negative reaction to an advertisement.","<question>
What was the reason behind the Tanishq jewellery store in Gandhidham, Gujarat, India being attacked?
<answer>
The Tanishq store was vandalised and the manager was forced to write an apology note after a complaint was lodged by a local Muslim organisation following an uproar on social media over an ad that celebrated interfaith relations.

<question>
What was the reason behind the Tanishq jewellery store in Gandhidham, Gujarat, India being attacked?
<answer>
The Tanishq jewellery store in Gandhidham, Gujarat, India was attacked following a negative reaction to an advertisement.

label:",Conflicting Evidence/Cherrypicking
102,Kanye West was ahead of Biden and Trump in the Kentucky polls in October 2020,Refuted,Refuted
103,"Former President Donald Trump who lost the popular vote by 3 million has nominated a full third of The United Supreme Court, as of 13th October 2020.",Supported,Supported
104,"Amy Coney Barrett's nomination to the Supreme Court would be confirmed in October 2020, by a Senate majority that represents 15 million fewer people than the minority party.",Supported,Supported
105,"President Trump said Anthony Fauci said, “This is not a threat. This is not a problem. Don’t worry about it.” when talking about the pandemic",Refuted,Refuted
106,"Amy Coney Barrett, associate justice of the Supreme Court of the United States,  said during her Supreme Court confirmation hearing that she was not using notes because she has seven kids and is used to stupid questions.",Refuted,Refuted
107,Anthony Fauci the NIAID director is a democrat.,Supported,Refuted
108,CNN announces on social media that President Donald Trump dies from COVID-19.,Refuted,Refuted
109,18-year-old man was recently killed by Trinamool Congress workers in West Bengal for supporting BJP,"<question>
Is there any news about 18 year old man being killed by Trinamool Congress workers in West Bengal for supporting BJP?
<answer>
Yes

<question>
What is the source of the claim?
<answer>
The claim appears to be based on an article from the website of the Indian Express. The article does not mention the name of the 18-year-old man who was killed. The article also does not mention the name of the BJP worker who was killed.

label:",Refuted
110,Fact check: Harris' statement on Lincoln's Supreme Court nomination misses key details,"<question>
What was the first woman to serve on the supreme court?
<answer>
No, Kamala Harris was not the first woman to serve on the supreme court.

<question>
Is there a history of the US supreme court having a vacancy?
<answer>
Yes, the supreme court has had vacancies on multiple occasions, including during the time of Lincoln.

<question>
What is the Maine Supreme Judicial Court’s policy regarding the settlement of municipal charges?
<answer>
The Maine Supreme Judicial Court’s policy is that it will not order a penalty or elimination of a violation because of one or more of the factors listed in Section 4452. Rather, the court will decide whether to settle for less in a consent agreement before",Supported
111,Daughters of President Muhammadu Buhari and Vice President Yemi Osinbajo brought about the dissolution of Special Anti-Robbery Squad (SARS).,Refuted,Refuted
112,The Median White Household Wealth In The US Is 81 Times that of The Black Median Household Wealth,Supported,Refuted
113,Congress MP Rahul Gandhi has been listed as the seventh most educated leader by Forbes.,"<question>
Where was Rahul Gandhi ranked by Forbes?
<answer>
As the seventh most educated leader.
<question>
What is the current ranking of the 20 most educated leaders in the world
<answer>
Forbes' list of the 20 Most Educated Leaders in the World was released on Wednesday. The list was compiled based on the education levels of the leaders of the world's most powerful countries.
<question>
Where is Rahul Gandhi ranked on Forbes list of the worlds most educated leaders?
<answer>
In 2019, Rahul Gandhi was ranked 7th on Forbes list of the worlds most educated leaders

label:",Supported
114,Donald Trump is facing a court case for raping a teen in 1994,Refuted,Refuted
115,More people who wear masks become sick with COVID-19 compared to non-mask wearers,Refuted,Conflicting Evidence/Cherrypicking
116,"Joe Biden said “You know, we have to come together. That’s why I’m running. I’m running as a proud Democrat for the Senate. So vote! Vote!”",Refuted,Refuted
117,NASA always receives blessings from the Pope and that God’s permission must be sought before a space mission.,Refuted,Refuted
118,Most Arab citizens support normalization with Israel.,"<question>
What percentage of Arab citizens support normalization with Israel?
<answer>
Most Arab citizens support normalization with Israel
<question>
How many Arabs support normalization with Israel?
<answer>
The Egyptian president, Abdel Fattah el-Sisi, said that the Egyptian people are not against normalization with Israel and that Egypt will not be opposed to any country normalizing relations with Israel.
<question>
How do many arab citizens view normalisation with Israel?
<answer>
Normalization is viewed as a betrayal of the Palestinian cause and a legitimation of Israel's presence in the region.

label:",Refuted
119,The PHE has began to combine Covid-19 and influenza statistics to make the numbers look worse.,Refuted,Refuted
120,A law called The Flora and Fauna Act classified aboriginal people as animals until Australian voters overturned it in the 1960s.,Refuted,Refuted
121,"Robert E. Lee, commander of the Confederate States Army during the American Civil War, was not a slave owner.",Refuted,Refuted
122,"A BLM or antifa activist shot and killed a patriot at a protest in Denver, Colorado on October 10, 2020.",Refuted,Refuted
123,From 8th October the UK government will combine weekly flu and covid reports.,Refuted,Supported
124,PTFE Sprayed On Blue Masks Causes Symptoms Similar To COVID-19,Refuted,Refuted
125,The gross domestic product  (GDP) figure in Nigeria for 2020 has decreased from the figure for 2019.,"<question>
What was the GDP of Nigeria in 2019?
<answer>
The gross domestic product (GDP) of Nigeria was estimated at 2.54 trillion naira in 2019, up from 2.23 trillion naira in 2018.

<question>
Is Nigeria's GDP for 2020 less than the figure for 2019?
<answer>
Yes

label:",Supported
126,"Ulysses S. Grant, commander of the Union Army during the American Civil War, was a slave owner.",Supported,Supported
127,"Dr. Anthony Fauci said of Trump’s pandemic response, “I can’t imagine that … anybody could be doing more.”",Refuted,Refuted
128,Joe Biden proposed a US wide 2% property tax increase.,"<question>
How much tax did Joe Biden propose in 2020?
<answer>
Joe Biden proposed a 2% tax on property.

<question>
Did Joe Biden propose a 2% property tax increase in the US?
<answer>
Joe Biden did not propose a 2% property tax increase in the US.

<question>
What is the proposed US tax rate increase under Joe Biden's plan?
<answer>
Mr Biden proposes a corporate tax rate of 28%.

<question>
What was the percentage of property tax that Joe Biden proposed in 2020?
<answer>
Joe Biden proposed a 2% tax on property.

<question>
Did Joe Biden propose a 2% property tax increase in the",Refuted
129,US Democratic presidential nominee Joe Biden was endorsed by Black Lives Matter and Antifa,Supported,Refuted
130,"Kirron Kher, BJP’s Chandigarh MP, said “Rape is part of Indian culture and tradition. We cannot stop it!”",Refuted,Refuted
131,We do not know where Covid-19 places among causes of death because the data is not published.,"<question>
How many deaths from COVID-19 were reported in the UK in 2020?
<answer>
1,626 deaths

<question>
How many deaths from COVID-19 were reported in the UK in 2020?
<answer>
1,626 deaths

<question>
Is Covid-19 more likely to kill people of colour?
<answer>
The available evidence does not support the claim that the risk of death from covid19 is higher in bame communities than in white communities.

label:",Refuted
132,Swiss Squash player Ambre Allinckx’s refuses to play in India due to safety reasons,Refuted,Refuted
133,"Labour reversed the 4,400 health health worker cuts by the LNP.",Refuted,Supported
134,"WHO ( World Health Organization) approved water, salt and vinegar remedy for coronavirus",Refuted,Refuted
135,No one lost their health care because of the Wellmark and Iowa Farm Bureau Health Plan Bill.,Supported,Not Enough Evidence
136,Forty percent of Iowa’s energy resources are from renewables.,Supported,Supported
137,it is unknown whether a person under 20 can pass the disease to an older adult.,Supported,Refuted
138,Fly swatters are now available on Joe Biden's online store.,"<question>
What are the items available on Joe Biden's online store?
<answer>
A variety of items, including mugs, t-shirts, and other merchandise are available on the Joe Biden campaign website store.
<question>
Did Joe Biden sell fly swatters?
<answer>
Yes, the Biden campaign started selling fly swatters within minutes of viral Pence moment and they sold out overnight
<question>
When was the fly swatter added to Joe Biden's online store?
<answer>
Thursday, October 22, 2020

label:",Supported
139,A campaign ad video for John Cornyn says that his plan would guarantee insurers must sell plans to any patient with preexisting conditions and will be covered in his plan.,Refuted,Refuted
140,Charlotta Bass was the first Black woman to run for vice president in 1952,Refuted,Supported
141,"China seek for court’s approval to kill the over 20,000 coronavirus patients to avoid further spread of the virus.",Refuted,Refuted
142,"The CDC has said over 98,000 people had non-COVID related deaths because of hospitals that were closed down for non-essential services",Refuted,Not Enough Evidence
143,"New Zealand spends less on pensions than most wealthy countries, spending 4.4 per cent of GDP",Refuted,Conflicting Evidence/Cherrypicking
144,Nigeria’s Ngozi Okonjo-Iweala has been appointed the new and first female Director-General of the World Trade Organisation (WTO).,Refuted,Supported
145,"When Joe Biden was US vice-president they took a month to act on information that might have saved Kayla Mueller, a humanitarian worker held hostage and sexually abused by the Islamic State terrorist group",Supported,Supported
146,"Right after a time where we're going through a pandemic that lost 22 million jobs at the height, we've already added back 11.6 million jobs.",Supported,Supported
147,"Because of a so-called trade war with China, America lost 300,000 manufacturing jobs.","<question>
Did the United States lose 300,000 manufacturing jobs due to the trade deficit with China?
<answer>
...an estimated 03 percentage point in us real gdp and almost 300000 jobs the number is a moving target because its unclear how trumps posture with china will turn out while the obamabiden record has been written but that was the estimate as of
<question>
How many jobs were lost due to the trade war with China?
<answer>
...an estimated 03 percentage point in us real gdp and almost 300000 jobs the number is a moving target because its unclear how trumps posture with china will turn out while the obamabiden record has been written but that",Supported
148,U.S. President Donald Trump has suspended all travel from China.,Refuted,Conflicting Evidence/Cherrypicking
149,They [the Democrats] want to ... ban fracking.,Refuted,Refuted
150,Zimbabwe gets more than half of the African Export Import Bank loans.,Supported,Refuted
151,The Democrats want to shut down U.S. churches permanently.,Refuted,Refuted
152,"Over thirty million people... in the last several months had to file for unemployment.""",Refuted,Supported
153,President Trump and I have a plan to improve healthcare and protect pre-existing conditions for every American.,Refuted,Not Enough Evidence
154,COVID-19 had caused zero deaths in people under 20.,Refuted,Refuted
155,Trump said 'there were fine people on both sides' in far-right protests.,Supported,Supported
156,"Vice president of the U.S Mike Pence said “When Joe Biden was vice president of the United States, the FBI actually spied on President Trump and my campaign.”",Refuted,Supported
157,Richard A. Rothschild filed a patent for novel coronavirus tests in 2015.,Refuted,Refuted
158,"US President Donald Trump following his positive diagnosis of COVID-19, was given treatment developed from the use of fetal tissue, made by the company Regeneron.",Refuted,Supported
159,U.S. mortalities this year are not materially different from the previous 5 years,"<question>
What is the average number of deaths per year in the US?
<answer>
In 2017, the estimated deaths in the United States was 2,744,000.

<question>
How did the number of deaths from violence change between 2018 and 2019 in the United States?
<answer>
There were 39,383 deaths in 2019, compared to 39,736 in 2018.

<question>
How many deaths were there in the US in 2019?
<answer>
There were 2,808,694 deaths in the United States in 2019.

label:",Refuted
160,President Donald  J Trump said it [coronavirus] was a hoax.,Refuted,Refuted
